temps (s);déplacement mesuré (V)
2;-0.016
2.002;-0.049
2.004;-0.059
2.006;-0.095
2.008;-0.113
2.01;-0.12
2.012;-0.143
2.014;-0.169
2.016;-0.166
2.018;-0.171
2.02;-0.174
2.022;-0.171
2.024;-0.179
2.026;-0.161
2.028;-0.143
2.03;-0.13
2.032;-0.118
2.034;-0.09
2.036;-0.08
2.038;-0.049
2.04;-0.026
2.042;-0.011
2.044;0.025
2.046;0.055
2.048;0.068
2.05;0.096
2.052;0.124
2.054;0.134
2.056;0.137
2.058;0.15
2.06;0.172
2.062;0.165
2.064;0.172
2.066;0.165
2.068;0.167
2.07;0.157
2.072;0.137
2.074;0.116
2.076;0.104
2.078;0.078
2.08;0.05
2.082;0.03
2.084;0.002
2.086;-0.021
2.088;-0.036
2.09;-0.062
2.092;-0.087
2.094;-0.115
2.096;-0.123
2.098;-0.148
2.1;-0.169
2.102;-0.171
2.104;-0.174
2.106;-0.181
2.108;-0.164
2.11;-0.174
2.112;-0.158
2.114;-0.153
2.116;-0.128
2.118;-0.113
2.12;-0.102
2.122;-0.077
2.124;-0.052
2.126;-0.029
2.128;-0.006
2.13;0.022
2.132;0.043
2.134;0.076
2.136;0.096
2.138;0.114
2.14;0.124
2.142;0.134
2.144;0.155
2.146;0.165
2.148;0.157
2.15;0.172
2.152;0.167
2.154;0.152
2.156;0.157
2.158;0.137
2.16;0.119
2.162;0.091
2.164;0.081
2.166;0.05
2.168;0.027
2.17;0.004
2.172;-0.018
2.174;-0.039
2.176;-0.067
2.178;-0.087
2.18;-0.108
2.182;-0.128
2.184;-0.143
2.186;-0.158
2.188;-0.158
2.19;-0.161
2.192;-0.158
2.194;-0.164
2.196;-0.156
2.198;-0.148
2.2;-0.143
2.202;-0.123
2.204;-0.108
2.206;-0.1
2.208;-0.077
2.21;-0.046
2.212;-0.021
2.214;-0.006
2.216;0.017
2.218;0.055
2.22;0.071
2.222;0.099
2.224;0.109
2.226;0.122
2.228;0.142
2.23;0.137
2.232;0.16
2.234;0.157
2.236;0.16
2.238;0.157
2.24;0.157
2.242;0.15
2.244;0.116
2.246;0.116
2.248;0.088
2.25;0.06
2.252;0.05
2.254;0.025
2.256;0.007
2.258;-0.021
2.26;-0.041
2.262;-0.064
2.264;-0.085
2.266;-0.113
2.268;-0.123
2.27;-0.143
2.272;-0.146
2.274;-0.148
2.276;-0.158
2.278;-0.151
2.28;-0.158
2.282;-0.146
2.284;-0.141
2.286;-0.136
2.288;-0.11
2.29;-0.1
2.292;-0.082
2.294;-0.059
2.296;-0.044
2.298;-0.013
2.3;0.007
2.302;0.025
2.304;0.053
2.306;0.066
2.308;0.096
2.31;0.106
2.312;0.114
2.314;0.132
2.316;0.137
2.318;0.142
2.32;0.147
2.322;0.152
2.324;0.15
2.326;0.144
2.328;0.129
2.33;0.109
2.332;0.106
2.334;0.076
2.336;0.063
2.338;0.032
2.34;0.017
2.342;-0.006
2.344;-0.026
2.346;-0.049
2.348;-0.067
2.35;-0.09
2.352;-0.108
2.354;-0.13
2.356;-0.138
2.358;-0.138
2.36;-0.151
2.362;-0.158
2.364;-0.151
2.366;-0.141
2.368;-0.148
2.37;-0.141
2.372;-0.13
2.374;-0.11
2.376;-0.092
2.378;-0.072
2.38;-0.049
2.382;-0.039
2.384;-0.001
2.386;0.01
2.388;0.038
2.39;0.05
2.392;0.078
2.394;0.091
2.396;0.114
2.398;0.116
2.4;0.134
2.402;0.134
2.404;0.147
2.406;0.152
2.408;0.15
2.41;0.137
2.412;0.137
2.414;0.129
2.416;0.104
2.418;0.099
2.42;0.063
2.422;0.053
2.424;0.027
2.426;0.012
2.428;-0.003
2.43;-0.029
2.432;-0.049
2.434;-0.072
2.436;-0.09
2.438;-0.11
2.44;-0.13
2.442;-0.13
2.444;-0.138
2.446;-0.146
2.448;-0.148
2.45;-0.146
2.452;-0.143
2.454;-0.138
2.456;-0.128
2.458;-0.12
2.46;-0.1
2.462;-0.085
2.464;-0.072
2.466;-0.057
2.468;-0.029
2.47;-0.006
2.472;0.012
2.474;0.032
2.476;0.048
2.478;0.076
2.48;0.086
2.482;0.109
2.484;0.116
2.486;0.129
2.488;0.137
2.49;0.142
2.492;0.147
2.494;0.142
2.496;0.132
2.498;0.119
2.5;0.122
2.502;0.106
2.504;0.091
2.506;0.071
2.508;0.05
2.51;0.038
2.512;0.01
2.514;-0.018
2.516;-0.031
2.518;-0.046
2.52;-0.077
2.522;-0.097
2.524;-0.105
2.526;-0.113
2.528;-0.128
2.53;-0.13
2.532;-0.138
2.534;-0.138
2.536;-0.133
2.538;-0.141
2.54;-0.136
2.542;-0.123
2.544;-0.108
2.546;-0.095
2.548;-0.074
2.55;-0.062
2.552;-0.041
2.554;-0.021
2.556;-0.006
2.558;0.022
2.56;0.038
2.562;0.055
2.564;0.073
2.566;0.088
2.568;0.096
2.57;0.116
2.572;0.119
2.574;0.137
2.576;0.137
2.578;0.142
2.58;0.132
2.582;0.127
2.584;0.116
2.586;0.106
2.588;0.091
2.59;0.071
2.592;0.055
2.594;0.043
2.596;0.015
2.598;0.004
2.6;-0.021
2.602;-0.031
2.604;-0.062
2.606;-0.069
2.608;-0.102
2.61;-0.105
2.612;-0.113
2.614;-0.128
2.616;-0.138
2.618;-0.141
2.62;-0.133
2.622;-0.133
2.624;-0.13
2.626;-0.123
2.628;-0.113
2.63;-0.102
2.632;-0.087
2.634;-0.077
2.636;-0.054
2.638;-0.029
2.64;-0.018
2.642;-0.003
2.644;0.022
2.646;0.038
2.648;0.053
2.65;0.081
2.652;0.086
2.654;0.104
2.656;0.116
2.658;0.122
2.66;0.122
2.662;0.139
2.664;0.129
2.666;0.132
2.668;0.122
2.67;0.111
2.672;0.096
2.674;0.094
2.676;0.073
2.678;0.055
2.68;0.038
2.682;0.017
2.684;-0.001
2.686;-0.024
2.688;-0.046
2.69;-0.057
2.692;-0.074
2.694;-0.095
2.696;-0.105
2.698;-0.12
2.7;-0.128
2.702;-0.133
2.704;-0.138
2.706;-0.133
2.708;-0.125
2.71;-0.128
2.712;-0.128
2.714;-0.11
2.716;-0.1
2.718;-0.085
2.72;-0.059
2.722;-0.041
2.724;-0.031
2.726;-0.018
2.728;0.012
2.73;0.02
2.732;0.038
2.734;0.055
2.736;0.076
2.738;0.088
2.74;0.104
2.742;0.114
2.744;0.124
2.746;0.134
2.748;0.127
2.75;0.122
2.752;0.116
2.754;0.116
2.756;0.116
2.758;0.094
2.76;0.086
2.762;0.071
2.764;0.055
2.766;0.035
2.768;0.015
2.77;0.004
2.772;-0.026
2.774;-0.041
2.776;-0.052
2.778;-0.074
2.78;-0.097
2.782;-0.102
2.784;-0.108
2.786;-0.113
2.788;-0.123
2.79;-0.123
2.792;-0.136
2.794;-0.118
2.796;-0.123
2.798;-0.118
2.8;-0.097
2.802;-0.1
2.804;-0.077
2.806;-0.069
2.808;-0.039
2.81;-0.029
2.812;-0.011
2.814;-0.001
2.816;0.02
2.818;0.045
2.82;0.063
2.822;0.076
2.824;0.088
2.826;0.096
2.828;0.109
2.83;0.119
2.832;0.119
2.834;0.114
2.836;0.124
2.838;0.114
2.84;0.104
2.842;0.094
2.844;0.094
2.846;0.068
2.848;0.06
2.85;0.053
2.852;0.022
2.854;0.01
2.856;-0.011
2.858;-0.021
2.86;-0.046
2.862;-0.059
2.864;-0.08
2.866;-0.085
2.868;-0.092
2.87;-0.113
2.872;-0.108
2.874;-0.113
2.876;-0.125
2.878;-0.12
2.88;-0.118
2.882;-0.12
2.884;-0.113
2.886;-0.095
2.888;-0.082
2.89;-0.064
2.892;-0.054
2.894;-0.036
2.896;-0.016
2.898;-0.011
2.9;0.007
2.902;0.035
2.904;0.05
2.906;0.058
2.908;0.076
2.91;0.081
2.912;0.101
2.914;0.111
2.916;0.111
2.918;0.114
2.92;0.119
2.922;0.111
2.924;0.111
2.926;0.091
2.928;0.091
2.93;0.081
2.932;0.076
2.934;0.055
2.936;0.035
2.938;0.025
2.94;-0.003
2.942;-0.016
2.944;-0.039
2.946;-0.044
2.948;-0.064
2.95;-0.077
2.952;-0.09
2.954;-0.097
2.956;-0.113
2.958;-0.113
2.96;-0.118
2.962;-0.115
2.964;-0.123
2.966;-0.12
2.968;-0.102
2.97;-0.1
2.972;-0.095
2.974;-0.082
2.976;-0.067
2.978;-0.049
2.98;-0.034
2.982;-0.016
2.984;-0.006
2.986;0.025
2.988;0.032
2.99;0.048
2.992;0.063
2.994;0.078
2.996;0.083
2.998;0.099
3;0.106
3.002;0.111
3.004;0.119
3.006;0.111
3.008;0.104
3.01;0.104
3.012;0.099
3.014;0.081
3.016;0.076
3.018;0.058
3.02;0.055
3.022;0.032
3.024;0.017
3.026;0.002
3.028;-0.016
3.03;-0.036
3.032;-0.046
3.034;-0.069
3.036;-0.072
3.038;-0.082
3.04;-0.09
3.042;-0.1
3.044;-0.11
3.046;-0.12
3.048;-0.118
3.05;-0.11
3.052;-0.11
3.054;-0.105
3.056;-0.09
3.058;-0.087
3.06;-0.08
3.062;-0.054
3.064;-0.046
3.066;-0.026
3.068;-0.016
3.07;-0.006
3.072;0.015
3.074;0.038
3.076;0.048
3.078;0.071
3.08;0.073
3.082;0.086
3.084;0.094
3.086;0.101
3.088;0.104
3.09;0.111
3.092;0.106
3.094;0.096
3.096;0.088
3.098;0.091
3.1;0.086
3.102;0.068
3.104;0.06
3.106;0.045
3.108;0.03
3.11;0.015
3.112;-0.003
3.114;-0.021
3.116;-0.039
3.118;-0.046
3.12;-0.064
3.122;-0.067
3.124;-0.09
3.126;-0.087
3.128;-0.1
3.13;-0.113
3.132;-0.115
3.134;-0.108
3.136;-0.113
3.138;-0.097
3.14;-0.097
3.142;-0.085
3.144;-0.085
3.146;-0.059
3.148;-0.054
3.15;-0.046
3.152;-0.024
3.154;-0.021
3.156;0.012
3.158;0.012
3.16;0.038
3.162;0.043
3.164;0.066
3.166;0.073
3.168;0.076
3.17;0.096
3.172;0.101
3.174;0.106
3.176;0.094
3.178;0.101
3.18;0.099
3.182;0.088
3.184;0.091
3.186;0.078
3.188;0.063
3.19;0.055
3.192;0.043
3.194;0.022
3.196;0.002
3.198;-0.008
3.2;-0.031
3.202;-0.041
3.204;-0.054
3.206;-0.067
3.208;-0.082
3.21;-0.082
3.212;-0.087
3.214;-0.108
3.216;-0.1
3.218;-0.108
3.22;-0.108
3.222;-0.105
3.224;-0.097
3.226;-0.087
3.228;-0.074
3.23;-0.069
3.232;-0.054
3.234;-0.041
3.236;-0.041
3.238;-0.018
3.24;-0.006
3.242;0.015
3.244;0.027
3.246;0.045
3.248;0.05
3.25;0.066
3.252;0.071
3.254;0.078
3.256;0.094
3.258;0.091
3.26;0.106
3.262;0.096
3.264;0.096
3.266;0.096
3.268;0.088
3.27;0.091
3.272;0.073
3.274;0.06
3.276;0.048
3.278;0.035
3.28;0.017
3.282;0.004
3.284;-0.013
3.286;-0.029
3.288;-0.044
3.29;-0.054
3.292;-0.072
3.294;-0.082
3.296;-0.092
3.298;-0.1
3.3;-0.102
3.302;-0.097
3.304;-0.102
3.306;-0.105
3.308;-0.092
3.31;-0.092
3.312;-0.092
3.314;-0.074
3.316;-0.077
3.318;-0.064
3.32;-0.052
3.322;-0.026
3.324;-0.016
3.326;-0.003
3.328;0.01
3.33;0.03
3.332;0.035
3.334;0.045
3.336;0.063
3.338;0.078
3.34;0.088
3.342;0.094
3.344;0.086
3.346;0.101
3.348;0.088
3.35;0.088
3.352;0.076
3.354;0.076
3.356;0.078
3.358;0.073
3.36;0.055
3.362;0.035
3.364;0.03
3.366;0.01
3.368;-0.001
3.37;-0.011
3.372;-0.024
3.374;-0.041
3.376;-0.046
3.378;-0.062
3.38;-0.077
3.382;-0.082
3.384;-0.082
3.386;-0.092
3.388;-0.092
3.39;-0.097
3.392;-0.09
3.394;-0.09
3.396;-0.087
3.398;-0.082
3.4;-0.069
3.402;-0.062
3.404;-0.057
3.406;-0.036
3.408;-0.026
3.41;-0.011
3.412;-0.001
3.414;0.015
3.416;0.03
3.418;0.045
3.42;0.053
3.422;0.063
3.424;0.073
3.426;0.086
3.428;0.091
3.43;0.094
3.432;0.083
3.434;0.088
3.436;0.096
3.438;0.073
3.44;0.083
3.442;0.066
3.444;0.053
3.446;0.053
3.448;0.025
3.45;0.02
3.452;0.015
3.454;-0.013
3.456;-0.018
3.458;-0.034
3.46;-0.046
3.462;-0.052
3.464;-0.062
3.466;-0.082
3.468;-0.087
3.47;-0.09
3.472;-0.095
3.474;-0.097
3.476;-0.097
3.478;-0.1
3.48;-0.097
3.482;-0.082
3.484;-0.077
3.486;-0.077
3.488;-0.052
3.49;-0.054
3.492;-0.029
3.494;-0.016
3.496;-0.008
3.498;-0.001
3.5;0.017
3.502;0.027
3.504;0.045
3.506;0.055
3.508;0.071
3.51;0.068
3.512;0.071
3.514;0.086
3.516;0.081
3.518;0.088
3.52;0.083
3.522;0.083
3.524;0.081
3.526;0.076
3.528;0.073
3.53;0.058
3.532;0.045
3.534;0.035
3.536;0.025
3.538;0.015
3.54;-0.001
3.542;-0.018
3.544;-0.031
3.546;-0.044
3.548;-0.046
3.55;-0.064
3.552;-0.08
3.554;-0.077
3.556;-0.08
3.558;-0.087
3.56;-0.085
3.562;-0.095
3.564;-0.082
3.566;-0.08
3.568;-0.072
3.57;-0.069
3.572;-0.054
3.574;-0.052
3.576;-0.041
3.578;-0.036
3.58;-0.021
3.582;-0.006
3.584;0.01
3.586;0.015
3.588;0.027
3.59;0.05
3.592;0.058
3.594;0.063
3.596;0.071
3.598;0.081
3.6;0.081
3.602;0.081
3.604;0.081
3.606;0.081
3.608;0.071
3.61;0.073
3.612;0.06
3.614;0.055
3.616;0.048
3.618;0.032
3.62;0.017
3.622;0.01
3.624;-0.006
3.626;-0.006
3.628;-0.034
3.63;-0.031
3.632;-0.046
3.634;-0.059
3.636;-0.074
3.638;-0.069
3.64;-0.087
3.642;-0.087
3.644;-0.092
3.646;-0.087
3.648;-0.092
3.65;-0.085
3.652;-0.074
3.654;-0.082
3.656;-0.067
3.658;-0.059
3.66;-0.049
3.662;-0.039
3.664;-0.021
3.666;-0.011
3.668;0.002
3.67;0.007
3.672;0.025
3.674;0.038
3.676;0.045
3.678;0.058
3.68;0.071
3.682;0.078
3.684;0.076
3.686;0.086
3.688;0.091
3.69;0.081
3.692;0.086
3.694;0.076
3.696;0.076
3.698;0.066
3.7;0.05
3.702;0.04
3.704;0.035
3.706;0.022
3.708;0.012
3.71;-0.001
3.712;-0.018
3.714;-0.024
3.716;-0.029
3.718;-0.049
3.72;-0.057
3.722;-0.069
3.724;-0.072
3.726;-0.077
3.728;-0.082
3.73;-0.085
3.732;-0.085
3.734;-0.085
3.736;-0.085
3.738;-0.077
3.74;-0.069
3.742;-0.057
3.744;-0.046
3.746;-0.049
3.748;-0.026
3.75;-0.016
3.752;-0.016
3.754;0.007
3.756;0.01
3.758;0.017
3.76;0.035
3.762;0.04
3.764;0.05
3.766;0.071
3.768;0.068
3.77;0.071
3.772;0.076
3.774;0.071
3.776;0.081
3.778;0.078
3.78;0.068
3.782;0.058
3.784;0.058
3.786;0.05
3.788;0.038
3.79;0.027
3.792;0.01
3.794;0.01
3.796;-0.013
3.798;-0.016
3.8;-0.029
3.802;-0.049
3.804;-0.052
3.806;-0.062
3.808;-0.059
3.81;-0.077
3.812;-0.08
3.814;-0.082
3.816;-0.09
3.818;-0.077
3.82;-0.082
3.822;-0.085
3.824;-0.067
3.826;-0.072
3.828;-0.054
3.83;-0.049
3.832;-0.041
3.834;-0.024
3.836;-0.016
3.838;0.002
3.84;-0.001
3.842;0.017
3.844;0.035
3.846;0.038
3.848;0.053
3.85;0.058
3.852;0.068
3.854;0.063
3.856;0.073
3.858;0.076
3.86;0.076
3.862;0.071
3.864;0.068
3.866;0.06
3.868;0.068
3.87;0.06
3.872;0.038
3.874;0.038
3.876;0.032
3.878;0.01
3.88;0.01
3.882;-0.008
3.884;-0.024
3.886;-0.026
3.888;-0.041
3.89;-0.049
3.892;-0.052
3.894;-0.064
3.896;-0.067
3.898;-0.074
3.9;-0.085
3.902;-0.072
3.904;-0.077
3.906;-0.069
3.908;-0.074
3.91;-0.064
3.912;-0.069
3.914;-0.062
3.916;-0.039
3.918;-0.034
3.92;-0.026
3.922;-0.008
3.924;-0.006
3.926;0.002
3.928;0.02
3.93;0.035
3.932;0.032
3.934;0.045
3.936;0.06
3.938;0.06
3.94;0.073
3.942;0.076
3.944;0.066
3.946;0.071
3.948;0.068
3.95;0.063
3.952;0.055
3.954;0.055
3.956;0.04
3.958;0.04
3.96;0.032
3.962;0.012
3.964;0.004
3.966;0.004
3.968;-0.011
3.97;-0.024
3.972;-0.041
3.974;-0.046
3.976;-0.052
3.978;-0.067
3.98;-0.072
3.982;-0.069
3.984;-0.072
3.986;-0.077
3.988;-0.074
3.99;-0.077
3.992;-0.074
3.994;-0.074
3.996;-0.069
3.998;-0.057
